match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker_name,non_striker_name,bowler_name,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,0.1,England,NewZealand,JMBairstow,DJMalan,TABoult,0,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,0.2,England,NewZealand,JMBairstow,DJMalan,TABoult,6,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,0.3,England,NewZealand,JMBairstow,DJMalan,TABoult,1,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,0.4,England,NewZealand,DJMalan,JMBairstow,TABoult,1,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,0.5,England,NewZealand,JMBairstow,DJMalan,TABoult,4,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,0.6,England,NewZealand,JMBairstow,DJMalan,TABoult,0,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,1.1,England,NewZealand,DJMalan,JMBairstow,MJHenry,0,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,1.2,England,NewZealand,DJMalan,JMBairstow,MJHenry,0,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,1.3,England,NewZealand,DJMalan,JMBairstow,MJHenry,0,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,1.4,England,NewZealand,DJMalan,JMBairstow,MJHenry,0,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,1.5,England,NewZealand,DJMalan,JMBairstow,MJHenry,0,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,1.6,England,NewZealand,DJMalan,JMBairstow,MJHenry,0,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,2.1,England,NewZealand,JMBairstow,DJMalan,TABoult,0,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,2.2,England,NewZealand,JMBairstow,DJMalan,TABoult,1,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,2.3,England,NewZealand,DJMalan,JMBairstow,TABoult,2,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,2.4,England,NewZealand,DJMalan,JMBairstow,TABoult,1,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,2.5,England,NewZealand,JMBairstow,DJMalan,TABoult,0,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,2.6,England,NewZealand,JMBairstow,DJMalan,TABoult,0,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,3.1,England,NewZealand,DJMalan,JMBairstow,MJHenry,0,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,3.2,England,NewZealand,DJMalan,JMBairstow,MJHenry,0,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,3.3,England,NewZealand,DJMalan,JMBairstow,MJHenry,4,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,3.4,England,NewZealand,DJMalan,JMBairstow,MJHenry,0,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,3.5,England,NewZealand,DJMalan,JMBairstow,MJHenry,1,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,3.6,England,NewZealand,JMBairstow,DJMalan,MJHenry,0,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,4.1,England,NewZealand,DJMalan,JMBairstow,TABoult,4,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,4.2,England,NewZealand,DJMalan,JMBairstow,TABoult,0,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,4.3,England,NewZealand,DJMalan,JMBairstow,TABoult,0,1,1,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,4.4,England,NewZealand,DJMalan,JMBairstow,TABoult,0,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,4.5,England,NewZealand,DJMalan,JMBairstow,TABoult,0,0,,,,,,,,,
1,2023/24,10/5/2023,"NarendraModiStadium,Ahmedabad",1,4.6,England,NewZealand,DJMalan,JMBairstow,TABoult,0,0,,,,,,,,,
